s_p_number_address,s_p_port_address_Masked,s_p_equipment_number,s_p_location_address_Masked,o_p_number_address,o_p_number_type_of_number,call_type,start_time_stamp,service_code,duration_volume,xfile_charge_amount,in_account_before_call_amount,in_account_after_call_amount,package_id,purchasment_flag,xfile_ind,actual_volume,bd_ingestion_timestamp,usage_counter_01_id,usage_counter_01_before,usage_counter_01_delta,usage_counter_02_id,usage_counter_02_before,usage_counter_02_delta,usage_counter_03_id,usage_counter_03_before,usage_counter_03_delta,usage_counter_04_id,usage_counter_04_before,usage_counter_04_delta,usage_counter_05_id,usage_counter_05_before,usage_counter_05_delta,usage_accum_id_01,usage_accum_before_01,usage_accum_delta_01,usage_accum_id_02,usage_accum_before_02,usage_accum_delta_02,usage_accum_id_03,usage_accum_before_03,usage_accum_delta_03,usage_accum_id_04,usage_accum_before_04,usage_accum_delta_04,usage_accum_id_05,usage_accum_before_05,usage_accum_delta_05,usage_dedicated_01_id,usage_dedicated_01_volume,usage_dedicated_01_before,usage_dedicated_01_delta,usage_dedicated_01_unit,usage_dedicated_02_id,usage_dedicated_02_volume,usage_dedicated_02_before,usage_dedicated_02_delta,usage_dedicated_02_unit,usage_dedicated_03_id,usage_dedicated_03_volume,usage_dedicated_03_before,usage_dedicated_03_delta,usage_dedicated_03_unit,usage_dedicated_04_id,usage_dedicated_04_volume,usage_dedicated_04_before,usage_dedicated_04_delta,usage_dedicated_04_unit,usage_dedicated_05_id,usage_dedicated_05_volume,usage_dedicated_05_before,usage_dedicated_05_delta,usage_dedicated_05_unit,usage_dedicated_06_id,usage_dedicated_06_volume,usage_dedicated_06_before,usage_dedicated_06_delta,usage_dedicated_06_unit,usage_dedicated_07_id,usage_dedicated_07_volume,usage_dedicated_07_before,usage_dedicated_07_delta,usage_dedicated_07_unit,usage_dedicated_08_id,usage_dedicated_08_volume,usage_dedicated_08_before,usage_dedicated_08_delta,usage_dedicated_08_unit,usage_dedicated_09_id,usage_dedicated_09_volume,usage_dedicated_09_before,usage_dedicated_09_delta,usage_dedicated_09_unit,usage_dedicated_10_id,usage_dedicated_10_volume,usage_dedicated_10_before,usage_dedicated_10_delta,usage_dedicated_10_unit,content_category,content_description,content_product_category,content_sub_category,partition_transaction_date
/G+KCURIm0S20VgnABOL9Q==,P3,uSJ1Nb0hJ03M1tfLE4/RkT2BTTdRfSNSs32oOr5QED4=,Loc25,internet.vodafone.net,1,12,2.02107E+13,141,0,0.02,0,0,240102036,0,H,92939,7/18/2021 4:24,668,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,102400,3.324,0.02,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/17/2021
/G+KCURIm0S20VgnABOL9Q==,P3,uSJ1Nb0hJ03M1tfLE4/RkT2BTTdRfSNSs32oOr5QED4=,Loc3,internet.vodafone.net,1,12,2.02107E+13,141,0,0.02,0,0,8536,0,H,47683,7/8/2021 3:48,233,396492800,102400,668,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,102400,98.921,0.02,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/6/2021
/G+KCURIm0S20VgnABOL9Q==,P3,uSJ1Nb0hJ03M1tfLE4/RkT2BTTdRfSNSs32oOr5QED4=,Loc94,internet.vodafone.net,1,12,2.02107E+13,141,0,0,0,0,10001,0,H,8890,7/17/2021 3:51,10001,203878400,102400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/16/2021
foQv8xTsE7ZIv6Fj1MP+yg==,P2,pmQwiBXgQHDCrEHonDp75Q==,Loc77,nEenrZ0PKOMfmCE1EYDZnA==,1,2,2.02107E+13,1,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/13/2021 3:54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/12/2021
/G+KCURIm0S20VgnABOL9Q==,P3,uSJ1Nb0hJ03M1tfLE4/RkT2BTTdRfSNSs32oOr5QED4=,Loc9,internet.vodafone.net,1,12,2.02107E+13,141,0,0.01,0,0,8536,0,H,38547,7/15/2021 4:03,10016,NULL,102400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,102400,11.71,0.01,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/14/2021
/G+KCURIm0S20VgnABOL9Q==,P3,CI1vMGwqRJxE3N50grdAGg==,Loc25,SL/oJWGVIATla7tY7s1ptw==,1,1,2.02107E+13,1,122,0.6,0,0,NULL,NULL,NULL,NULL,7/10/2021 3:10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,180,86.662,0.6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/9/2021
foQv8xTsE7ZIv6Fj1MP+yg==,P2,pmQwiBXgQHDCrEHonDp75Q==,Loc95,e4UyHbLnh8o+h4Lr2lZBjA==,1,2,2.02107E+13,1,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/15/2021 4:03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/14/2021
/G+KCURIm0S20VgnABOL9Q==,P3,uSJ1Nb0hJ03M1tfLE4/RkT2BTTdRfSNSs32oOr5QED4=,Loc3,internet.vodafone.net,1,12,2.02107E+13,141,0,0,0,0,10001,0,H,66089,7/5/2021 4:15,10001,53555200,102400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/3/2021
/G+KCURIm0S20VgnABOL9Q==,P3,uSJ1Nb0hJ03M1tfLE4/RkT2BTTdRfSNSs32oOr5QED4=,Loc3,internet.vodafone.net,1,12,2.02107E+13,141,0,0.02,0,0,8536,0,H,96893,7/5/2021 4:15,233,327065600,102400,668,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,102400,150.995,0.02,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/3/2021
foQv8xTsE7ZIv6Fj1MP+yg==,P2,JO7k/SBBDt9WKegbYBvF1z2BTTdRfSNSs32oOr5QED4=,Loc2,internet.vodafone.net,NULL,12,2.02107E+13,141,0,NULL,NULL,NULL,6172,0,NULL,10240,7/11/2021 3:57,317,NULL,10240,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/10/2021
/G+KCURIm0S20VgnABOL9Q==,P3,uSJ1Nb0hJ03M1tfLE4/RkT2BTTdRfSNSs32oOr5QED4=,Loc3,internet.vodafone.net,1,12,2.02107E+13,141,0,3.848,0,0,8536,0,H,40305257,7/5/2021 4:15,10016,NULL,40345600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,40345600,150.976,3.848,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/3/2021
mNhndwGP5ywX5Z78rRkmzg==,P4,b/vXphh8PzTrOSx+rwSvTA==,Loc7,s5DZrx9+wzX7kEp8bliWZA==,1,2,2.02107E+13,1,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/31/2021 5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/30/2021
1E/lRM+T4lTB/971N/fB4w==,P1,2oqWMjHf0V26RjkUrp87Gw==,Loc5,4qMKdLHNox4S3iMC1uzDAg==,1,2,2.02107E+13,1,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/31/2021 5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/30/2021
/G+KCURIm0S20VgnABOL9Q==,P3,uSJ1Nb0hJ03M1tfLE4/RkT2BTTdRfSNSs32oOr5QED4=,Loc25,internet.vodafone.net,1,12,2.02107E+13,141,0,0.127,0,0,8536,0,H,1289956,7/9/2021 3:48,10016,NULL,1331200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1331200,92.125,0.127,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/8/2021
1E/lRM+T4lTB/971N/fB4w==,P1,hCXQFnvkyMrDImEQkQQ48D2BTTdRfSNSs32oOr5QED4=,Loc96,internet.vodafone.net,1,12,2.02107E+13,141,0,0.586,0,0,8989,0,H,3007491,7/8/2021 3:48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,121,3072000,42.856,0.586,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/6/2021
mNhndwGP5ywX5Z78rRkmzg==,P4,u0RK1aFILunpbWdSBcboLz2BTTdRfSNSs32oOr5QED4=,Loc97,internet.vodafone.net,1,12,2.02107E+13,141,0,0.449,0.006,0.006,8989,0,H,2318974,7/29/2021 5:44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,121,2355200,29.292,0.449,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/28/2021
/G+KCURIm0S20VgnABOL9Q==,P3,uSJ1Nb0hJ03M1tfLE4/RkT2BTTdRfSNSs32oOr5QED4=,Loc3,internet.vodafone.net,1,12,2.02107E+13,141,0,0,0,0,10001,0,H,65490,7/14/2021 4:00,10001,133324800,102400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/12/2021
/G+KCURIm0S20VgnABOL9Q==,P3,uSJ1Nb0hJ03M1tfLE4/RkT2BTTdRfSNSs32oOr5QED4=,Loc3,internet.vodafone.net,1,12,2.02107E+13,141,0,0.01,0,0,8536,0,H,21869,7/14/2021 4:00,10016,NULL,102400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,102400,55.044,0.01,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/12/2021
mNhndwGP5ywX5Z78rRkmzg==,P4,b/vXphh8PzTrOSx+rwSvTA==,Loc34,2+t3wx68U5jt6o38d4Z6bg==,1,2,2.02107E+13,1,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/26/2021 5:08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/25/2021
mNhndwGP5ywX5Z78rRkmzg==,P4,b/vXphh8PzTrOSx+rwSvTA==,Loc98,c2KHe1V9HVTMW2oEQ5u+Jw==,1,2,2.02107E+13,1,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/26/2021 5:08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/25/2021
/G+KCURIm0S20VgnABOL9Q==,P3,uSJ1Nb0hJ03M1tfLE4/RkT2BTTdRfSNSs32oOr5QED4=,Loc3,internet.vodafone.net,1,12,2.02107E+13,141,0,0.02,0,0,8536,0,H,7294,7/14/2021 4:00,233,495513600,102400,668,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,102400,55.064,0.02,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/12/2021
IaeDjuODU21rvFA355yU9A==,P7,FExIyyTz5Mn8b6fe/QnTbw==,Loc99,kPN4rYtb4Cncaq+06qZsnQ==,1,2,2.02107E+13,1,131,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/30/2021 7:01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/29/2021
C9qe2ud+VXX2sU+e6U55Ew==,P11,SYjZPOr6yTSdOPuLx2nP+w==,Loc85,4lA0x6ljXrf1MbJrzldWSg==,1,2,2.02107E+13,1,186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/13/2021 3:54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/12/2021
/G+KCURIm0S20VgnABOL9Q==,P3,uSJ1Nb0hJ03M1tfLE4/RkT2BTTdRfSNSs32oOr5QED4=,Loc3,internet.vodafone.net,1,12,2.02107E+13,141,0,0.176,0,0,8536,0,H,845054,7/5/2021 4:15,233,326041600,921600,668,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,921600,157.032,0.176,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/3/2021
/G+KCURIm0S20VgnABOL9Q==,P3,CI1vMGwqRJxE3N50grdAGg==,Loc9,SL/oJWGVIATla7tY7s1ptw==,1,1,2.02107E+13,1,40,0.2,0,0,NULL,NULL,NULL,NULL,7/2/2021 3:52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,60,182.566,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/1/2021
/G+KCURIm0S20VgnABOL9Q==,P3,uSJ1Nb0hJ03M1tfLE4/RkT2BTTdRfSNSs32oOr5QED4=,Loc94,internet.vodafone.net,1,12,2.02107E+13,141,0,0.039,0.12,0.12,25521,0,H,65080,7/27/2021 15:12,2544,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,139,102400,245.937,0.039,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/26/2021
/G+KCURIm0S20VgnABOL9Q==,P3,uSJ1Nb0hJ03M1tfLE4/RkT2BTTdRfSNSs32oOr5QED4=,Loc94,internet.vodafone.net,1,12,2.02107E+13,141,0,0.195,0.12,0.12,25520,0,H,961823,7/27/2021 15:12,2544,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,139,1024000,245.898,0.195,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/26/2021
