subscriber_number,dr_id,transaction_timestamp,transaction_type,transaction_code,transaction_amount,origin_operator_id,service_class,account_flag_before,account_flag_after,account_group_id,dedicated_account_id,dedicated_account_amount,ada_account_expiry_date_after,product_id,package_id,origin_transaction_id_for_ovi_store,origin_operator_id_for_ovi_store,origin_host_name,lifecycle,promo_indicator,ci_channel_id,file_type,debit_amount,balance_after_deduction,success_code,bd_ingestion_timestamp,partition_transaction_date
Qnig2waEGtW6FmPUq8bE1w==,2.02E+36,20210705 19:00:07,DEB,TEST,NULL,EXT,719,NULL,NULL,0,56,75,NULL,NULL,NULL,1.10E+26,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/6/2021 2:38,7/5/2021
Qnig2waEGtW6FmPUq8bE1w==,3.93E+37,20210727 07:34:24,DEB,MIKE3ALNOTA,NULL,NULL,719,NULL,NULL,0,48,-0.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_bonusadjust,NULL,NULL,NULL,7/28/2021 19:28,7/27/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210723 18:15:32,DEB,ECOFEES,-0.01,Unknown,454,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/24/2021 1:20,7/23/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210720 00:34:37,NULL,NULL,NULL,ZHR-SDP-79A,454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,327117,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/21/2021 1:23,7/20/2021
Qnig2waEGtW6FmPUq8bE1w==,2.02E+36,20210721 16:53:45,CRE,GRANT365-VOICEGIFT,NULL,EXT,719,NULL,NULL,0,82,20,20210725,NULL,NULL,1.10E+26,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/22/2021 1:16,7/21/2021
Qnig2waEGtW6FmPUq8bE1w==,2.02E+36,20210721 16:15:14,DEB,TEST,NULL,EXT,719,NULL,NULL,0,56,125,NULL,NULL,NULL,1.10E+26,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/22/2021 1:16,7/21/2021
1E/lRM+T4lTB/971N/fB4w==,2.11E+36,20210727 00:01:17,DEB,SET-DA-0-NOBAL-FLAG,NULL,ZHR-SDP-88A,419,NULL,NULL,NULL,32,0,NULL,NULL,NULL,2.02E+34,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/28/2021 19:28,7/27/2021
L0KukaCxIf6WfOynXo4h7Q==,2.69E+37,20210702 00:43:55,DEB,EXPRIED,NULL,SDP,454,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/3/2021 1:14,7/2/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210725 00:34:38,NULL,NULL,NULL,ZHR-SDP-79A,454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,331498,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/26/2021 1:28,7/25/2021
Qnig2waEGtW6FmPUq8bE1w==,1.69E+37,20210704 06:53:32,DEB,EXPRIED,NULL,EXT,719,NULL,NULL,0,56,-75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/5/2021 1:22,7/4/2021
