subscriber_number,dr_id,transaction_timestamp,transaction_type,transaction_code,transaction_amount,origin_operator_id,service_class,account_flag_before,account_flag_after,account_group_id,dedicated_account_id,dedicated_account_amount,ada_account_expiry_date_after,product_id,package_id,origin_transaction_id_for_ovi_store,origin_operator_id_for_ovi_store,origin_host_name,lifecycle,promo_indicator,ci_channel_id,file_type,debit_amount,balance_after_deduction,success_code,bd_ingestion_timestamp,partition_transaction_date
mNhndwGP5ywX5Z78rRkmzg==,NULL,20210709 00:32:14,NULL,NULL,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.02E+33,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/10/2021 1:11,7/9/2021
C9qe2ud+VXX2sU+e6U55Ew==,2.11E+36,20210719 00:11:38,DEB,7ARAKAT-DAY-1-CLR,NULL,RMD-SDP-83A,1743,NULL,NULL,NULL,9,0,NULL,NULL,NULL,2.02E+33,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/20/2021 1:18,7/19/2021
1E/lRM+T4lTB/971N/fB4w==,NULL,20210710 00:35:54,NULL,NULL,NULL,ZHR-SDP-88A,419,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,520810,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/11/2021 1:00,7/10/2021
C9qe2ud+VXX2sU+e6U55Ew==,NULL,20210726 00:21:17,NULL,NULL,NULL,RMD-SDP-83A,1743,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.02E+33,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/27/2021 2:58,7/26/2021
L0KukaCxIf6WfOynXo4h7Q==,2.11E+36,20210731 00:34:32,DEB,SET-DA-0-NOBAL-FLAG,NULL,ZHR-SDP-79A,454,NULL,NULL,NULL,32,0,NULL,NULL,NULL,333629,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,8/1/2021 0:06,7/31/2021
IaeDjuODU21rvFA355yU9A==,2.11E+36,20210710 00:40:21,DEB,CLR-DA-NOBAL-EXPIRE,NULL,CAI5SDP59A,455,NULL,NULL,NULL,32,0,NULL,NULL,NULL,2.02E+32,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/11/2021 1:00,7/10/2021
mNhndwGP5ywX5Z78rRkmzg==,2.11E+36,20210729 00:14:21,DEB,CLR-DA-NOBAL-EXPIRE,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,32,0,NULL,NULL,NULL,2.02E+33,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/30/2021 12:19,7/29/2021
L0KukaCxIf6WfOynXo4h7Q==,2.69E+37,20210710 00:44:13,DEB,EXPRIED,NULL,SDP,454,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/11/2021 1:00,7/10/2021
1E/lRM+T4lTB/971N/fB4w==,2.11E+36,20210724 00:12:32,DEB,SET-DA-0-NOBAL-FLAG,NULL,ZHR-SDP-88A,419,NULL,NULL,NULL,32,0,NULL,NULL,NULL,2.02E+34,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/25/2021 1:12,7/24/2021
IaeDjuODU21rvFA355yU9A==,NULL,20210722 00:27:27,NULL,NULL,NULL,CAI5SDP59A,455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.02E+32,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/23/2021 1:17,7/22/2021
/G+KCURIm0S20VgnABOL9Q==,2.11E+36,20210703 21:47:34,CRE,FLEXEXTRA3LEGRAADON,NULL,ZHR-SDP-79A,454,NULL,NULL,NULL,32,12,20210722,NULL,NULL,1.09E+26,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/4/2021 1:23,7/3/2021
1E/lRM+T4lTB/971N/fB4w==,2.11E+36,20210729 00:35:55,DEB,CLR-DA-NOBAL-EXPIRE,NULL,ZHR-SDP-88A,419,NULL,NULL,NULL,32,0,NULL,NULL,NULL,504311,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/30/2021 12:19,7/29/2021
IaeDjuODU21rvFA355yU9A==,2.11E+36,20210711 00:39:30,DEB,SET-DA-0-NOBAL-FLAG,NULL,CAI5SDP59A,455,NULL,NULL,NULL,32,0,NULL,NULL,NULL,2.02E+32,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/12/2021 1:14,7/11/2021
mNhndwGP5ywX5Z78rRkmzg==,2.11E+36,20210702 00:35:26,DEB,CLR-DA-NOBAL-EXPIRE,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,32,0,NULL,NULL,NULL,446990,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/3/2021 1:14,7/2/2021
IaeDjuODU21rvFA355yU9A==,NULL,20210703 00:20:15,NULL,NULL,NULL,CAI5SDP59A,455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.02E+32,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/4/2021 1:23,7/3/2021
/G+KCURIm0S20VgnABOL9Q==,NULL,20210720 19:43:22,STAMPTXADJ,DEB,-0.67,NULL,454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_serv_fees,0,6.33,1,7/21/2021 1:23,7/20/2021
/G+KCURIm0S20VgnABOL9Q==,NULL,20210720 19:42:41,STAMPTXADJ,DEB,0,NULL,454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_serv_fees,0.67,0,4,7/21/2021 1:23,7/20/2021
/G+KCURIm0S20VgnABOL9Q==,NULL,20210720 19:42:41,STAMPTXADJ,DEB,0,NULL,454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_serv_fees,0.67,0,4,7/21/2021 1:23,7/20/2021
/G+KCURIm0S20VgnABOL9Q==,NULL,20210720 19:42:41,STAMPTXADJ,DEB,0,NULL,454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_serv_fees,0.67,0,4,7/21/2021 1:23,7/20/2021
/G+KCURIm0S20VgnABOL9Q==,NULL,20210720 19:42:41,STAMPTXADJ,DEB,0,NULL,454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_serv_fees,0.67,0,4,7/21/2021 1:23,7/20/2021
mNhndwGP5ywX5Z78rRkmzg==,2.11E+36,20210727 00:35:16,DEB,SET-DA-0-NOBAL-FLAG,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,32,0,NULL,NULL,NULL,419330,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/28/2021 19:28,7/27/2021
mNhndwGP5ywX5Z78rRkmzg==,2.11E+36,20210716 00:35:14,DEB,SET-DA-0-NOBAL-FLAG,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,32,0,NULL,NULL,NULL,421793,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/17/2021 1:21,7/16/2021
L0KukaCxIf6WfOynXo4h7Q==,2.11E+36,20210706 00:34:54,DEB,SET-DA-0-NOBAL-FLAG,NULL,ZHR-SDP-79A,454,NULL,NULL,NULL,32,0,NULL,NULL,NULL,366219,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/7/2021 1:12,7/6/2021
IaeDjuODU21rvFA355yU9A==,NULL,20210713 00:00:14,NULL,NULL,NULL,CAI5SDP59A,455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.02E+32,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/14/2021 1:10,7/13/2021
C9qe2ud+VXX2sU+e6U55Ew==,2.11E+36,20210701 00:12:00,DEB,7ARAKAT-DAY-1-CLR,NULL,RMD-SDP-83A,1743,NULL,NULL,NULL,9,0,NULL,NULL,NULL,2.02E+34,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/2/2021 1:22,7/1/2021
IaeDjuODU21rvFA355yU9A==,NULL,20210723 00:28:19,NULL,NULL,NULL,CAI5SDP59A,455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.02E+32,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/24/2021 1:20,7/23/2021
C9qe2ud+VXX2sU+e6U55Ew==,NULL,20210717 00:24:16,NULL,NULL,NULL,RMD-SDP-83A,1743,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.02E+33,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/18/2021 1:21,7/17/2021
mNhndwGP5ywX5Z78rRkmzg==,2.11E+36,20210717 00:35:15,DEB,SET-DA-0-NOBAL-FLAG,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,32,0,NULL,NULL,NULL,423090,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/18/2021 1:21,7/17/2021
/G+KCURIm0S20VgnABOL9Q==,NULL,20210725 13:32:53,DEB,ECOFEES,-0.01,Unknown,454,0,0,134217728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/26/2021 1:28,7/25/2021
IaeDjuODU21rvFA355yU9A==,2.11E+36,20210714 00:43:21,DEB,SET-DA-0-NOBAL-FLAG,NULL,CAI5SDP59A,455,NULL,NULL,NULL,32,0,NULL,NULL,NULL,471551,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/15/2021 1:20,7/14/2021
Qnig2waEGtW6FmPUq8bE1w==,1.69E+37,20210705 19:00:07,DEB,EXPRIED,NULL,EXT,719,NULL,NULL,0,56,-75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/6/2021 2:38,7/5/2021
L0KukaCxIf6WfOynXo4h7Q==,2.11E+36,20210727 00:34:36,DEB,SET-DA-0-NOBAL-FLAG,NULL,ZHR-SDP-79A,454,NULL,NULL,NULL,32,0,NULL,NULL,NULL,332307,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/28/2021 19:28,7/27/2021
mNhndwGP5ywX5Z78rRkmzg==,2.11E+36,20210730 00:35:25,DEB,CLR-DA-NOBAL-EXPIRE,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,32,0,NULL,NULL,NULL,424783,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/30/2021 23:59,7/30/2021
C9qe2ud+VXX2sU+e6U55Ew==,2.11E+36,20210716 00:11:37,DEB,7ARAKAT-DAY-1-CLR,NULL,RMD-SDP-83A,1743,NULL,NULL,NULL,9,0,NULL,NULL,NULL,2.02E+33,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/17/2021 1:21,7/16/2021
L0KukaCxIf6WfOynXo4h7Q==,2.11E+36,20210708 00:34:56,DEB,CLR-DA-NOBAL-EXPIRE,NULL,ZHR-SDP-79A,454,NULL,NULL,NULL,32,0,NULL,NULL,NULL,367149,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/9/2021 1:08,7/8/2021
L0KukaCxIf6WfOynXo4h7Q==,2.11E+36,20210702 00:34:44,DEB,SET-DA-0-NOBAL-FLAG,NULL,ZHR-SDP-79A,454,NULL,NULL,NULL,32,0,NULL,NULL,NULL,358872,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/3/2021 1:14,7/2/2021
8ySmk8EywRlta7jz6YdwWQ==,NULL,20210723 20:05:54,DEB,ECOFEES,-0.01,Unknown,723,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/24/2021 1:20,7/23/2021
mNhndwGP5ywX5Z78rRkmzg==,4.34E+37,20210723 18:40:56,DEB,MIKE3ALNOTA,NULL,NULL,1453,NULL,NULL,0,48,-0.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_bonusadjust,NULL,NULL,NULL,7/24/2021 1:20,7/23/2021
1E/lRM+T4lTB/971N/fB4w==,1.82E+37,20210729 00:45:36,DEB,EXPRIED,NULL,SDP,419,NULL,NULL,0,117,-0.008905,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/30/2021 12:19,7/29/2021
1E/lRM+T4lTB/971N/fB4w==,1.82E+37,20210729 00:45:36,DEB,EXPRIED,NULL,SDP,419,NULL,NULL,0,113,-0.006719,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/30/2021 12:19,7/29/2021
Qnig2waEGtW6FmPUq8bE1w==,NULL,20210715 22:57:56,DEB,ECOFEES,-0.01,Unknown,719,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/16/2021 4:31,7/15/2021
Qnig2waEGtW6FmPUq8bE1w==,NULL,20210706 14:06:31,DEB,D-R-MASS-GIFTFEES,0,EXT,719,0,0,0,NULL,NULL,NULL,NULL,NULL,1.10E+26,NULL,CI2,NULL,NULL,NULL,med_adjustments_ppas_air,NULL,NULL,NULL,7/7/2021 1:12,7/6/2021
/G+KCURIm0S20VgnABOL9Q==,NULL,20210727 17:04:07,DEB,ECOFEES,-0.01,Unknown,454,0,0,134217728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/28/2021 19:28,7/27/2021
IaeDjuODU21rvFA355yU9A==,2.11E+36,20210717 00:24:12,DEB,SET-DA-0-NOBAL-FLAG,NULL,CAI5SDP59A,455,NULL,NULL,NULL,32,0,NULL,NULL,NULL,2.02E+32,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/18/2021 1:21,7/17/2021
mNhndwGP5ywX5Z78rRkmzg==,1.65E+37,20210713 00:44:54,DEB,EXPRIED,NULL,SDP,1453,NULL,NULL,0,122,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/14/2021 1:10,7/13/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210724 06:22:24,DEB,ECOFEES,-0.01,Unknown,454,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/25/2021 1:12,7/24/2021
mNhndwGP5ywX5Z78rRkmzg==,NULL,20210710 00:01:29,NULL,NULL,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.02E+33,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/11/2021 1:00,7/10/2021
L0KukaCxIf6WfOynXo4h7Q==,2.69E+37,20210716 00:43:20,DEB,EXPRIED,NULL,SDP,454,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/17/2021 1:21,7/16/2021
1E/lRM+T4lTB/971N/fB4w==,1.82E+37,20210711 00:32:18,DEB,EXPRIED,NULL,EXT,419,NULL,NULL,0,56,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/12/2021 1:14,7/11/2021
mNhndwGP5ywX5Z78rRkmzg==,NULL,20210723 00:25:29,NULL,NULL,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.02E+33,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/24/2021 1:20,7/23/2021
IaeDjuODU21rvFA355yU9A==,2.11E+36,20210705 00:20:41,DEB,SET-DA-0-NOBAL-FLAG,NULL,CAI5SDP59A,455,NULL,NULL,NULL,32,0,NULL,NULL,NULL,2.02E+32,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/6/2021 2:38,7/5/2021
1E/lRM+T4lTB/971N/fB4w==,1.82E+37,20210705 00:48:52,DEB,EXPRIED,NULL,SDP,419,NULL,NULL,0,122,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/6/2021 2:38,7/5/2021
Qnig2waEGtW6FmPUq8bE1w==,1.69E+37,20210708 06:54:50,DEB,EXPRIED,NULL,EXT,719,NULL,NULL,0,81,0,20210708,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/9/2021 1:08,7/8/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210721 19:12:59,DEB,ECOFEES,-0.01,Unknown,454,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/22/2021 1:16,7/21/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210708 00:34:56,NULL,NULL,NULL,ZHR-SDP-79A,454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,367149,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/9/2021 1:08,7/8/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210717 10:32:34,STAMPTXADJ,DEB,-0.67,NULL,454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_serv_fees,0,4.888,1,7/18/2021 1:21,7/17/2021
Qnig2waEGtW6FmPUq8bE1w==,NULL,20210714 21:41:31,DEB,ECOFEES,-0.01,Unknown,719,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/15/2021 1:20,7/14/2021
L0KukaCxIf6WfOynXo4h7Q==,2.11E+36,20210725 00:34:38,DEB,CLR-DA-NOBAL-EXPIRE,NULL,ZHR-SDP-79A,454,NULL,NULL,NULL,32,0,NULL,NULL,NULL,331498,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/26/2021 1:28,7/25/2021
L0KukaCxIf6WfOynXo4h7Q==,2.11E+36,20210713 00:34:31,DEB,SET-DA-0-NOBAL-FLAG,NULL,ZHR-SDP-79A,454,NULL,NULL,NULL,32,0,NULL,NULL,NULL,339382,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/14/2021 1:10,7/13/2021
L0KukaCxIf6WfOynXo4h7Q==,2.11E+36,20210704 00:34:52,DEB,SET-DA-0-NOBAL-FLAG,NULL,ZHR-SDP-79A,454,NULL,NULL,NULL,32,0,NULL,NULL,NULL,363529,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/5/2021 1:22,7/4/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210703 18:36:09,DEB,ECOFEES,-0.01,Unknown,454,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/4/2021 1:23,7/3/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210709 19:36:21,DEB,ECOFEES,-0.01,Unknown,454,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/10/2021 1:11,7/9/2021
/G+KCURIm0S20VgnABOL9Q==,NULL,20210728 20:37:53,DEB,ECOFEES,-0.01,Unknown,454,0,0,134217728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/29/2021 13:27,7/28/2021
mNhndwGP5ywX5Z78rRkmzg==,4.54E+37,20210723 20:50:30,DEB,MIKE3ALNOTA,NULL,NULL,1453,NULL,NULL,0,48,-0.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_bonusadjust,NULL,NULL,NULL,7/24/2021 1:20,7/23/2021
/G+KCURIm0S20VgnABOL9Q==,NULL,20210723 16:53:30,DEB,ECOFEES,-0.01,Unknown,454,0,0,134217728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/24/2021 1:20,7/23/2021
1E/lRM+T4lTB/971N/fB4w==,1.82E+37,20210718 00:55:27,DEB,EXPRIED,NULL,SDP,419,NULL,NULL,0,121,-25.847805,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/19/2021 1:38,7/18/2021
IaeDjuODU21rvFA355yU9A==,2.11E+36,20210720 00:43:34,DEB,SET-DA-0-NOBAL-FLAG,NULL,CAI5SDP59A,455,NULL,NULL,NULL,32,0,NULL,NULL,NULL,455644,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/21/2021 1:23,7/20/2021
/G+KCURIm0S20VgnABOL9Q==,NULL,20210727 13:46:01,DEB,ECOFEES,0,Unknown,454,0,0,134217728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/28/2021 19:28,7/27/2021
IaeDjuODU21rvFA355yU9A==,2.11E+36,20210730 00:08:16,DEB,SET-DA-0-NOBAL-FLAG,NULL,CAI5SDP59A,455,NULL,NULL,NULL,32,0,NULL,NULL,NULL,2.02E+32,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/30/2021 23:59,7/30/2021
C9qe2ud+VXX2sU+e6U55Ew==,2.11E+36,20210713 00:23:04,DEB,7ARAKAT-DAY-1-CLR,NULL,RMD-SDP-83A,1743,NULL,NULL,NULL,9,0,NULL,NULL,NULL,2.02E+33,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/14/2021 1:10,7/13/2021
IaeDjuODU21rvFA355yU9A==,2.11E+36,20210701 00:43:40,DEB,CLR-DA-NOBAL-EXPIRE,NULL,CAI5SDP59A,455,NULL,NULL,NULL,32,0,NULL,NULL,NULL,471552,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/2/2021 1:22,7/1/2021
1E/lRM+T4lTB/971N/fB4w==,2.11E+36,20210703 00:00:14,DEB,SET-DA-0-NOBAL-FLAG,NULL,ZHR-SDP-88A,419,NULL,NULL,NULL,32,0,NULL,NULL,NULL,2.02E+34,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/4/2021 1:23,7/3/2021
mNhndwGP5ywX5Z78rRkmzg==,2.11E+36,20210715 00:35:11,DEB,SET-DA-0-NOBAL-FLAG,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,32,0,NULL,NULL,NULL,423035,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/16/2021 4:31,7/15/2021
Qnig2waEGtW6FmPUq8bE1w==,NULL,20210714 10:44:52,DEB,ECOFEES,-0.01,Unknown,719,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/15/2021 1:20,7/14/2021
/G+KCURIm0S20VgnABOL9Q==,NULL,20210726 20:32:50,DEB,ECOFEES,-0.01,Unknown,454,0,0,134217728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/27/2021 2:58,7/26/2021
/G+KCURIm0S20VgnABOL9Q==,NULL,20210716 00:07:07,CRE,FLEXGRNTRECIEVER,0,BT,454,0,0,134217728,NULL,NULL,NULL,NULL,NULL,1.09E+27,NULL,BT,NULL,NULL,NULL,med_adjustments_ppas_air,NULL,NULL,NULL,7/17/2021 1:21,7/16/2021
L0KukaCxIf6WfOynXo4h7Q==,2.11E+36,20210728 00:34:35,DEB,CLR-DA-NOBAL-EXPIRE,NULL,ZHR-SDP-79A,454,NULL,NULL,NULL,32,0,NULL,NULL,NULL,333540,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/29/2021 13:27,7/28/2021
IaeDjuODU21rvFA355yU9A==,1.73E+37,20210728 00:43:47,DEB,EXPRIED,NULL,SDP,455,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/29/2021 13:27,7/28/2021
Qnig2waEGtW6FmPUq8bE1w==,NULL,20210715 18:09:06,DEB,ECOFEES,-0.01,Unknown,719,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/16/2021 4:31,7/15/2021
IaeDjuODU21rvFA355yU9A==,NULL,20210731 00:15:27,NULL,NULL,NULL,CAI5SDP59A,455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.02E+32,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,8/1/2021 0:06,7/31/2021
mNhndwGP5ywX5Z78rRkmzg==,NULL,20210714 00:00:39,NULL,NULL,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.02E+33,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/15/2021 1:20,7/14/2021
mNhndwGP5ywX5Z78rRkmzg==,2.11E+36,20210706 00:32:53,DEB,SET-DA-0-NOBAL-FLAG,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,32,0,NULL,NULL,NULL,2.02E+33,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/7/2021 1:12,7/6/2021
L0KukaCxIf6WfOynXo4h7Q==,2.69E+37,20210724 00:43:34,DEB,EXPRIED,NULL,SDP,454,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/25/2021 1:12,7/24/2021
